,location,time,students
335,484,2018-12-18 23:30:00,0
336,363,2018-12-18 00:00:00,2
337,363,2018-12-18 00:30:00,1
338,363,2018-12-18 01:00:00,1
339,363,2018-12-18 01:30:00,3
340,363,2018-12-18 02:00:00,0
341,363,2018-12-18 02:30:00,3
342,363,2018-12-18 03:00:00,3
343,363,2018-12-18 03:30:00,3
344,363,2018-12-18 04:00:00,2
345,363,2018-12-18 04:30:00,0
346,363,2018-12-18 05:00:00,0
347,363,2018-12-18 05:30:00,2
348,363,2018-12-18 06:00:00,2
349,363,2018-12-18 06:30:00,2
350,363,2018-12-18 07:00:00,1
351,363,2018-12-18 07:30:00,0
352,363,2018-12-18 08:00:00,0
353,363,2018-12-18 08:30:00,2
354,363,2018-12-18 09:00:00,1
355,363,2018-12-18 09:30:00,3
356,363,2018-12-18 10:00:00,2
357,363,2018-12-18 10:30:00,0
358,363,2018-12-18 11:00:00,1
359,363,2018-12-18 11:30:00,3
360,363,2018-12-18 12:00:00,3
361,363,2018-12-18 12:30:00,2
362,363,2018-12-18 13:00:00,1
363,363,2018-12-18 13:30:00,2
364,363,2018-12-18 14:00:00,0
365,363,2018-12-18 14:30:00,3
366,363,2018-12-18 15:00:00,0
367,363,2018-12-18 15:30:00,0
368,363,2018-12-18 16:00:00,1
369,363,2018-12-18 16:30:00,3
370,363,2018-12-18 17:00:00,0
371,363,2018-12-18 17:30:00,3
372,363,2018-12-18 18:00:00,1
373,363,2018-12-18 18:30:00,1
374,363,2018-12-18 19:00:00,2
375,363,2018-12-18 19:30:00,2
376,363,2018-12-18 20:00:00,2
377,363,2018-12-18 20:30:00,1
378,363,2018-12-18 21:00:00,3
379,363,2018-12-18 21:30:00,2
380,363,2018-12-18 22:00:00,1
381,363,2018-12-18 22:30:00,3
382,363,2018-12-18 23:00:00,0
383,363,2018-12-18 23:30:00,3
384,講堂,2018-12-18 00:00:00,0
385,講堂,2018-12-18 00:30:00,0
386,講堂,2018-12-18 01:00:00,1
387,講堂,2018-12-18 01:30:00,0
388,講堂,2018-12-18 02:00:00,2
389,講堂,2018-12-18 02:30:00,1
390,講堂,2018-12-18 03:00:00,0
391,講堂,2018-12-18 03:30:00,0
392,講堂,2018-12-18 04:00:00,2
393,講堂,2018-12-18 04:30:00,3
394,講堂,2018-12-18 05:00:00,2
395,講堂,2018-12-18 05:30:00,3
396,講堂,2018-12-18 06:00:00,1
397,講堂,2018-12-18 06:30:00,0
398,講堂,2018-12-18 07:00:00,0
399,講堂,2018-12-18 07:30:00,0
400,講堂,2018-12-18 08:00:00,2
401,講堂,2018-12-18 08:30:00,3
402,講堂,2018-12-18 09:00:00,2
403,講堂,2018-12-18 09:30:00,3
404,講堂,2018-12-18 10:00:00,0
405,講堂,2018-12-18 10:30:00,1
406,講堂,2018-12-18 11:00:00,1
407,講堂,2018-12-18 11:30:00,2
408,講堂,2018-12-18 12:00:00,0
